dataset,sample_id,clean_text,noisy_text,label,noise_type,severity,word_count,token_count,sigma_prime,alpha,oov_rate,clean_pred,noisy_pred,clean_score,noisy_score,delta_p,failure_label
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kin , ming  oedies like meria pi an de-on n eeco , ",1,char_deletion,0.3,12,22,1.8333333333333333,0.3636363636363636,0.1363636363636363,positive,unknown,1.0,0.0,1.0,1
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","klein , charming in comedies like american pie and dead-on in e lection , ",1,intra_word_whitespace,0.05,14,20,1.4285714285714286,0.2,0.05,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","klein , charmi ng in comedies like american pie and dead-on in e lection , ",1,intra_word_whitespace,0.15,15,22,1.4666666666666666,0.1818181818181818,0.1818181818181818,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kl ein , ch arming in comedies lik e american pie and dead-on in el ection , ",1,intra_word_whitespace,0.3,17,23,1.3529411764705883,0.217391304347826,0.217391304347826,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kLein , chArming in comedies like american pie anD dead-on In election , ",1,random_case_flip,0.05,13,22,1.6923076923076923,0.2272727272727272,0.1818181818181818,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kLein , cHARming iN CoMedies like american pie anD deAd-on In elecTion , ",1,random_case_flip,0.15,13,29,2.230769230769231,0.3793103448275862,0.4482758620689655,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kLEin , CHARming IN CoMedies like AmeriCaN piE anD deAD-on In eLecTIoN , ",1,random_case_flip,0.3,13,34,2.6153846153846154,0.4117647058823529,0.5294117647058824,positive,positive,1.0,1.0,0.0,0
sst2,1,be fruitful ,bw fruitful ,1,keyboard_proximity,0.05,2,5,2.5,0.4,0.0,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,gs fruitful ,1,keyboard_proximity,0.15,2,5,2.5,0.4,0.0,positive,positive,1.0,1.0,0.0,0
sst2,1,be fruitful ,gr fryitfup ,1,keyboard_proximity,0.3,2,7,3.5,0.2857142857142857,0.4285714285714285,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,6e fruitful ,1,homoglyph,0.05,2,6,3.0,0.3333333333333333,0.1666666666666666,positive,positive,1.0,1.0,0.0,0
sst2,1,be fruitful ,6e fruitfu1 ,1,homoglyph,0.15,2,7,3.5,0.4285714285714285,0.2857142857142857,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,63 fru1tfu1 ,1,homoglyph,0.3,2,9,4.5,0.5555555555555556,0.4444444444444444,positive,negative,1.0,0.0,1.0,1
sst2,1,be fruitful ,bee fruitful ,1,char_repetition,0.05,2,5,2.5,0.2,0.0,positive,positive,1.0,1.0,0.0,0
sst2,1,be fruitful ,bbee fruitful ,1,char_repetition,0.15,2,5,2.5,0.2,0.2,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,bbee fruuitfull ,1,char_repetition,0.3,2,6,3.0,0.1666666666666666,0.6666666666666666,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,b fruitful ,1,char_deletion,0.05,2,4,2.0,0.25,0.0,positive,positive,1.0,1.0,0.0,0
sst2,1,be fruitful , fruitful ,1,char_deletion,0.15,1,3,3.0,0.0,0.0,positive,positive,1.0,1.0,0.0,0
sst2,1,be fruitful , fritfu ,1,char_deletion,0.3,1,4,4.0,0.25,0.5,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,b e fruitful ,1,intra_word_whitespace,0.05,3,5,1.6666666666666667,0.4,0.0,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,b e fruitful ,1,intra_word_whitespace,0.15,3,5,1.6666666666666667,0.4,0.0,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,b e fruitful ,1,intra_word_whitespace,0.3,3,5,1.6666666666666667,0.4,0.0,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,bE fruitful ,1,random_case_flip,0.05,2,5,2.5,0.4,0.2,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,BE fruitful ,1,random_case_flip,0.15,2,4,2.0,0.0,0.25,positive,unknown,1.0,0.0,1.0,1
sst2,1,be fruitful ,BE frUitfuL ,1,random_case_flip,0.3,2,7,3.5,0.2857142857142857,0.7142857142857143,positive,positive,1.0,1.0,0.0,0
sst2,2,soulful and ,siulful and ,1,keyboard_proximity,0.05,2,5,2.5,0.0,0.4,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,wkulful and ,1,keyboard_proximity,0.15,2,6,3.0,0.3333333333333333,0.1666666666666666,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,wpulcul ans ,1,keyboard_proximity,0.3,2,5,2.5,0.0,0.8,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,5oulful and ,1,homoglyph,0.05,2,6,3.0,0.1666666666666666,0.1666666666666666,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,5oulful @nd ,1,homoglyph,0.15,2,7,3.5,0.2857142857142857,0.4285714285714285,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,50u1ful @nd ,1,homoglyph,0.3,2,9,4.5,0.5555555555555556,0.3333333333333333,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,sooulful and ,1,char_repetition,0.05,2,5,2.5,0.0,0.2,positive,positive,1.0,1.0,0.0,0
sst2,2,soulful and ,ssooulful and ,1,char_repetition,0.15,2,6,3.0,0.1666666666666666,0.1666666666666666,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,ssooulfful andd ,1,char_repetition,0.3,2,8,4.0,0.25,0.375,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,sulful and ,1,char_deletion,0.05,2,4,2.0,0.0,0.25,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,ulful and ,1,char_deletion,0.15,2,4,2.0,0.0,0.25,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,ulul an ,1,char_deletion,0.3,2,4,2.0,0.0,0.5,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,s oulful and ,1,intra_word_whitespace,0.05,3,6,2.0,0.3333333333333333,0.3333333333333333,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,s oulful and ,1,intra_word_whitespace,0.15,3,6,2.0,0.3333333333333333,0.3333333333333333,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,s oulful and ,1,intra_word_whitespace,0.3,3,6,2.0,0.3333333333333333,0.3333333333333333,positive,unknown,1.0,0.0,1.0,1
sst2,2,soulful and ,sOulful and ,1,random_case_flip,0.05,2,6,3.0,0.3333333333333333,0.3333333333333333,positive,positive,1.0,1.0,0.0,0
sst2,2,soulful and ,SOulful and ,1,random_case_flip,0.15,2,5,2.5,0.0,0.4,positive,positive,1.0,1.0,0.0,0
sst2,2,soulful and ,SOulFul anD ,1,random_case_flip,0.3,2,7,3.5,0.2857142857142857,0.7142857142857143,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,tye proue warrior that still lingers in the soule of thesr characters ,1,keyboard_proximity,0.05,12,19,1.5833333333333333,0.1578947368421052,0.2631578947368421,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,tne proix qarrioe rhzt still lingers in the soulz of thesw characyers ,1,keyboard_proximity,0.15,12,24,2.0,0.125,0.5,positive,unknown,1.0,0.0,1.0,1
sst2,3,the proud warrior that still lingers in the souls of these characters ,tnr prlys darriif yhzt still linyers im tbe skulx of yhssr chaeacfrrs ,1,keyboard_proximity,0.3,12,32,2.6666666666666665,0.3125,0.53125,positive,negative,1.0,0.0,1.0,1
sst2,3,the proud warrior that still lingers in the souls of these characters ,th3 proud warrior th@t still l1ng3rs in the souls of these characters ,1,homoglyph,0.05,12,20,1.6666666666666667,0.3,0.25,positive,unknown,1.0,0.0,1.0,1
sst2,3,the proud warrior that still lingers in the souls of these characters ,th3 proud w@rr1or th@t still 11ng3rs in th3 s0uls of the5e characters ,1,homoglyph,0.15,12,30,2.5,0.4666666666666667,0.3,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,7h3 pr0ud w@rr1or 7h@t stil1 11n93r5 in 7h3 s0u1s of the5e charac73r5 ,1,homoglyph,0.3,12,49,4.083333333333333,0.673469387755102,0.2448979591836734,positive,negative,1.0,0.0,1.0,1
sst2,3,the proud warrior that still lingers in the souls of these characters ,thhe proudd warrior that still lingers in the soulss of thesee characters ,1,char_repetition,0.05,12,19,1.5833333333333333,0.1052631578947368,0.2105263157894736,positive,unknown,1.0,0.0,1.0,1
sst2,3,the proud warrior that still lingers in the souls of these characters ,thhe prouudd wwarriorr tthaat still lingers in the soulss of thesee charactters ,1,char_repetition,0.15,12,26,2.1666666666666665,0.1923076923076923,0.3846153846153846,positive,unknown,1.0,0.0,1.0,1
sst2,3,the proud warrior that still lingers in the souls of these characters ,thhee proouudd wwarrioorr tthaat still linggers inn thhe sooulss of ttheesee charractteers ,1,char_repetition,0.3,12,32,2.6666666666666665,0.125,0.5625,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,te prou warrior that still lingers in the soul of thes characters ,1,char_deletion,0.05,12,16,1.3333333333333333,0.125,0.125,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,te pro arrio ht still lingers in the soul of thes characers ,1,char_deletion,0.15,12,19,1.5833333333333333,0.1578947368421052,0.3157894736842105,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,t pr arri ht still liners i te sul of hs chaacrs ,1,char_deletion,0.3,12,19,1.5833333333333333,0.3157894736842105,0.4210526315789473,positive,negative,1.0,0.0,1.0,1
sst2,3,the proud warrior that still lingers in the souls of these characters ,the proud warrior that still lingers in the souls of t hese characters ,1,intra_word_whitespace,0.05,13,16,1.2307692307692308,0.0625,0.0625,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,the pro ud warrior that still lingers in the souls of t hese characters ,1,intra_word_whitespace,0.15,14,17,1.2142857142857142,0.0588235294117647,0.1764705882352941,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,t he pr oud warrior that s till lingers in the souls of th ese characters ,1,intra_word_whitespace,0.3,16,19,1.1875,0.1052631578947368,0.2105263157894736,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,tHe prouD warrior that still lingers in the soulS of thesE characters ,1,random_case_flip,0.05,12,20,1.6666666666666667,0.3,0.25,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,tHe proUD WarrioR ThAt still lingers in the soulS of thesE characTers ,1,random_case_flip,0.15,12,25,2.083333333333333,0.24,0.52,positive,positive,1.0,1.0,0.0,0
sst2,3,the proud warrior that still lingers in the souls of these characters ,tHE prOUD WarriOR ThAt still linGers iN tHe sOulS of ThEsE chaRacTErs ,1,random_case_flip,0.3,12,32,2.6666666666666665,0.34375,0.71875,positive,positive,1.0,1.0,0.0,0
sst2,4,covered earlier and much better ,covsred earlier and mucg better ,0,keyboard_proximity,0.05,5,10,2.0,0.3,0.4,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,dovrred eqrlier and mucy berter ,0,keyboard_proximity,0.15,5,13,2.6,0.1538461538461538,0.5384615384615384,positive,unknown,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,xovdeed rqrlier and kucg gertrr ,0,keyboard_proximity,0.3,5,16,3.2,0.375,0.6875,positive,unknown,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,cov3red earlier and much b3tter ,0,homoglyph,0.05,5,11,2.2,0.3636363636363636,0.1818181818181818,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,c0v3red 3@rlier and much b3tter ,0,homoglyph,0.15,5,17,3.4,0.5294117647058824,0.3529411764705882,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,c0v3r3d 3@r1ier and much 637t3r ,0,homoglyph,0.3,5,23,4.6,0.7391304347826086,0.3478260869565217,positive,unknown,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,coveered earlier and muchh better ,0,char_repetition,0.05,5,9,1.8,0.2222222222222222,0.4444444444444444,positive,unknown,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,ccoveered eaarlier and muchh bettter ,0,char_repetition,0.15,5,13,2.6,0.3076923076923077,0.4615384615384615,positive,unknown,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,ccoveerred eeaarlier and mmuchh bbettteer ,0,char_repetition,0.3,5,17,3.4,0.2352941176470588,0.5882352941176471,positive,negative,0.0,1.0,-1.0,0
sst2,4,covered earlier and much better ,covred earlier and muc better ,0,char_deletion,0.05,5,8,1.6,0.125,0.375,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,ovred erlier and muc beter ,0,char_deletion,0.15,5,11,2.2,0.1818181818181818,0.6363636363636364,positive,negative,0.0,1.0,-1.0,0
sst2,4,covered earlier and much better ,oved rlier and uc etr ,0,char_deletion,0.3,5,11,2.2,0.5454545454545454,0.5454545454545454,positive,negative,0.0,1.0,-1.0,0
sst2,4,covered earlier and much better ,c overed earlier and much better ,0,intra_word_whitespace,0.05,6,8,1.3333333333333333,0.125,0.125,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,c overed earlier and much better ,0,intra_word_whitespace,0.15,6,8,1.3333333333333333,0.125,0.125,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,covere d earlier and much bet ter ,0,intra_word_whitespace,0.3,7,9,1.2857142857142858,0.2222222222222222,0.2222222222222222,positive,unknown,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,covEred earlier and mucH better ,0,random_case_flip,0.05,5,10,2.0,0.3,0.5,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,CovEred eArlier and mucH beTter ,0,random_case_flip,0.15,5,15,3.0,0.4,0.6,positive,positive,0.0,0.0,0.0,0
sst2,4,covered earlier and much better ,CovERed EArlier and MucH BeTtEr ,0,random_case_flip,0.3,5,16,3.2,0.375,0.75,positive,positive,0.0,0.0,0.0,0
sst2,5,wise and powerful ,wise and powwrful ,1,keyboard_proximity,0.05,3,6,2.0,0.0,0.3333333333333333,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,eose and powsrful ,1,keyboard_proximity,0.15,3,8,2.6666666666666665,0.375,0.375,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,eose qnd powreful ,1,keyboard_proximity,0.3,3,8,2.6666666666666665,0.25,0.375,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,wise and pow3rful ,1,homoglyph,0.05,3,7,2.333333333333333,0.2857142857142857,0.2857142857142857,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,w1se and pow3rfu1 ,1,homoglyph,0.15,3,10,3.333333333333333,0.5,0.4,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,w1s3 and p0w3rfu1 ,1,homoglyph,0.3,3,13,4.333333333333333,0.7692307692307693,0.1538461538461538,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,wise and poweerful ,1,char_repetition,0.05,3,7,2.333333333333333,0.1428571428571428,0.1428571428571428,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,wwiise and poweerful ,1,char_repetition,0.15,3,9,3.0,0.2222222222222222,0.2222222222222222,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,wwiise aand poweerrful ,1,char_repetition,0.3,3,10,3.333333333333333,0.3,0.3,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,wise and powrful ,1,char_deletion,0.05,3,6,2.0,0.1666666666666666,0.3333333333333333,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,se and powrful ,1,char_deletion,0.15,3,6,2.0,0.1666666666666666,0.5,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,se nd powful ,1,char_deletion,0.3,3,5,1.6666666666666667,0.0,0.6,positive,unknown,1.0,0.0,1.0,1
sst2,5,wise and powerful ,wise and p owerful ,1,intra_word_whitespace,0.05,4,7,1.75,0.2857142857142857,0.1428571428571428,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,wise and p owerful ,1,intra_word_whitespace,0.15,4,7,1.75,0.2857142857142857,0.1428571428571428,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,wise and p owerful ,1,intra_word_whitespace,0.3,4,7,1.75,0.2857142857142857,0.1428571428571428,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,wise and powErful ,1,random_case_flip,0.05,3,6,2.0,0.0,0.3333333333333333,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,WIse and powErful ,1,random_case_flip,0.15,3,8,2.6666666666666665,0.25,0.625,positive,positive,1.0,1.0,0.0,0
sst2,5,wise and powerful ,WIse And powERful ,1,random_case_flip,0.3,3,8,2.6666666666666665,0.25,0.75,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,a oowerfhl and reasonably fulfilling gestalt ,1,keyboard_proximity,0.05,6,12,2.0,0.25,0.1666666666666666,positive,unknown,1.0,0.0,1.0,1
sst2,6,a powerful and reasonably fulfilling gestalt ,a lowerryk and reqaobably fulfilling gestalt ,1,keyboard_proximity,0.15,6,14,2.333333333333333,0.2142857142857142,0.2142857142857142,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,z okwedgik and rrzzohqbly fulfilling yestapt ,1,keyboard_proximity,0.3,6,19,3.1666666666666665,0.3684210526315789,0.5789473684210527,positive,negative,1.0,0.0,1.0,1
sst2,6,a powerful and reasonably fulfilling gestalt ,a powerfu1 and reasonably fulfilling ge5talt ,1,homoglyph,0.05,6,13,2.1666666666666665,0.3076923076923077,0.1538461538461538,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,@ powerfu1 @nd rea50nably fulfilling ge5tal7 ,1,homoglyph,0.15,6,19,3.1666666666666665,0.4736842105263157,0.4210526315789473,positive,unknown,1.0,0.0,1.0,1
sst2,6,a powerful and reasonably fulfilling gestalt ,@ p0w3rfu1 @nd rea50nably fulf11lin9 ge5t@17 ,1,homoglyph,0.3,6,29,4.833333333333333,0.7241379310344828,0.3793103448275862,positive,unknown,1.0,0.0,1.0,1
sst2,6,a powerful and reasonably fulfilling gestalt ,a ppowerfuul and reasonably fulfilling gestalt ,1,char_repetition,0.05,6,12,2.0,0.1666666666666666,0.25,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,a ppowerffuull and reaassonnably fulfilling gestalt ,1,char_repetition,0.15,6,18,3.0,0.2777777777777778,0.3333333333333333,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,aa ppoowerrffuull and reeaassonnaably fulfilling ggestallt ,1,char_repetition,0.3,6,22,3.6666666666666665,0.2727272727272727,0.5,positive,unknown,1.0,0.0,1.0,1
sst2,6,a powerful and reasonably fulfilling gestalt ,a owerfl and reasonably fulfilling gestalt ,1,char_deletion,0.05,6,11,1.8333333333333333,0.1818181818181818,0.1818181818181818,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,a ower and reoably fulfilling gestalt ,1,char_deletion,0.15,6,12,2.0,0.25,0.25,positive,unknown,1.0,0.0,1.0,1
sst2,6,a powerful and reasonably fulfilling gestalt , we and robly fulfilling estat ,1,char_deletion,0.3,5,9,1.8,0.0,0.3333333333333333,positive,unknown,1.0,0.0,1.0,1
sst2,6,a powerful and reasonably fulfilling gestalt ,a p owerful and reasonably fulfilling gestalt ,1,intra_word_whitespace,0.05,7,12,1.7142857142857142,0.25,0.0833333333333333,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,a p owerful and reasonably fulfilling gestalt ,1,intra_word_whitespace,0.15,7,12,1.7142857142857142,0.25,0.0833333333333333,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,a pow erful and reas onably fulfilling ge stalt ,1,intra_word_whitespace,0.3,9,15,1.6666666666666667,0.0666666666666666,0.3333333333333333,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,a PowerfUl and reasonably fulfilling gestalt ,1,random_case_flip,0.05,6,12,2.0,0.3333333333333333,0.25,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,a PowerFUL and reASoNably fulfilling gestalt ,1,random_case_flip,0.15,6,15,2.5,0.2666666666666666,0.4666666666666667,positive,positive,1.0,1.0,0.0,0
sst2,6,a powerful and reasonably fulfilling gestalt ,A POweRFUL and rEASoNAbly fulfilling GestaLt ,1,random_case_flip,0.3,6,20,3.333333333333333,0.4,0.5,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,smaet and newfangled ,1,keyboard_proximity,0.05,3,8,2.6666666666666665,0.125,0.125,positive,negative,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,wmatt and hewfangled ,1,keyboard_proximity,0.15,3,9,3.0,0.3333333333333333,0.1111111111111111,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,zmqet and bewfanhlec ,1,keyboard_proximity,0.3,3,10,3.333333333333333,0.3,0.6,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,sm@rt and newfangled ,1,homoglyph,0.05,3,8,2.6666666666666665,0.125,0.375,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,5m@rt and newf@ngled ,1,homoglyph,0.15,3,12,4.0,0.4166666666666667,0.3333333333333333,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,5m@r7 and n3wf@ngl3d ,1,homoglyph,0.3,3,17,5.666666666666667,0.7647058823529411,0.2941176470588235,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,smarrt and newfangled ,1,char_repetition,0.05,3,8,2.6666666666666665,0.0,0.375,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,ssmarrt and nnewfangled ,1,char_repetition,0.15,3,10,3.333333333333333,0.2,0.4,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,ssmaarrt and nnewfanggledd ,1,char_repetition,0.3,3,12,4.0,0.25,0.5,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,smat and newfangled ,1,char_deletion,0.05,3,7,2.333333333333333,0.0,0.2857142857142857,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,mat and ewfangled ,1,char_deletion,0.15,3,7,2.333333333333333,0.2857142857142857,0.1428571428571428,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,mt and ewfanle ,1,char_deletion,0.3,3,7,2.333333333333333,0.2857142857142857,0.4285714285714285,positive,unknown,1.0,0.0,1.0,1
sst2,7,smart and newfangled ,smart and ne wfangled ,1,intra_word_whitespace,0.05,4,7,1.75,0.1428571428571428,0.1428571428571428,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,smart and ne wfangled ,1,intra_word_whitespace,0.15,4,7,1.75,0.1428571428571428,0.1428571428571428,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,smart and ne wfangled ,1,intra_word_whitespace,0.3,4,7,1.75,0.1428571428571428,0.1428571428571428,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,smaRt and newfangled ,1,random_case_flip,0.05,3,9,3.0,0.3333333333333333,0.2222222222222222,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,SmaRt and Newfangled ,1,random_case_flip,0.15,3,9,3.0,0.3333333333333333,0.4444444444444444,positive,positive,1.0,1.0,0.0,0
sst2,7,smart and newfangled ,SmARt and NewfanGleD ,1,random_case_flip,0.3,3,10,3.333333333333333,0.3,0.7,positive,positive,1.0,1.0,0.0,0
sst2,8,it too is a bomb . ,it too is a bonb . ,0,keyboard_proximity,0.05,6,8,1.3333333333333333,0.375,0.125,positive,unknown,0.0,0.0,0.0,0
sst2,8,it too is a bomb . ,of too is a bokb . ,0,keyboard_proximity,0.15,6,9,1.5,0.4444444444444444,0.0,positive,negative,0.0,1.0,-1.0,0
